"SECONDS";"PID";"VALUE";"UNITS"
"32646.554139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32646.554139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32646.554139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32646.554139";"Стоимость топлива";"0";"₽"
"32646.554139";"Стоимость топлива (общий)";"90.5";"₽"
"32646.590139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32646.590139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32646.662139";"Пройденный путь";"0";"km"
"32646.662139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32646.662139";"Скорость автомобиля";"0";"km/h"
"32646.662139";"Средняя скорость";"0";"km/h"
"32646.662139";"Ускорение";"0";"g"
"32646.719139";"Power from MAF";"0";"hp"
"32646.719139";"Использовано топлива";"0";"L"
"32646.719139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32646.719139";"Массовый расход воздуха";"0";"g/sec"
"32646.719139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32646.719139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32646.719139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32646.719139";"Стоимость топлива";"0";"₽"
"32646.719139";"Стоимость топлива (общий)";"90.5";"₽"
"32646.755139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32646.755139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32646.824139";"Пройденный путь";"0";"km"
"32646.824139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32646.824139";"Скорость автомобиля";"0";"km/h"
"32646.824139";"Средняя скорость";"0";"km/h"
"32646.824139";"Ускорение";"0";"g"
"32646.859139";"Power from MAF";"0";"hp"
"32646.859139";"Использовано топлива";"0";"L"
"32646.859139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32646.859139";"Массовый расход воздуха";"0";"g/sec"
"32646.859139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32646.859139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32646.859139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32646.859139";"Стоимость топлива";"0";"₽"
"32646.859139";"Стоимость топлива (общий)";"90.5";"₽"
"32646.895139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32646.895139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32646.969139";"Пройденный путь";"0";"km"
"32646.969139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32646.969139";"Скорость автомобиля";"0";"km/h"
"32646.969139";"Средняя скорость";"0";"km/h"
"32646.969139";"Ускорение";"0";"g"
"32647.004139";"Power from MAF";"0";"hp"
"32647.004139";"Использовано топлива";"0";"L"
"32647.004139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32647.004139";"Массовый расход воздуха";"0";"g/sec"
"32647.004139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32647.004139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32647.004139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32647.004139";"Стоимость топлива";"0";"₽"
"32647.004139";"Стоимость топлива (общий)";"90.5";"₽"
"32647.038139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32647.038139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32647.108139";"Пройденный путь";"0";"km"
"32647.108139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32647.108139";"Скорость автомобиля";"0";"km/h"
"32647.108139";"Средняя скорость";"0";"km/h"
"32647.108139";"Ускорение";"0";"g"
"32647.144139";"Power from MAF";"0";"hp"
"32647.144139";"Использовано топлива";"0";"L"
"32647.144139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32647.144139";"Массовый расход воздуха";"0";"g/sec"
"32647.144139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32647.144139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32647.144139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32647.144139";"Стоимость топлива";"0";"₽"
"32647.144139";"Стоимость топлива (общий)";"90.5";"₽"
"32647.187139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32647.187139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32647.272139";"Пройденный путь";"0";"km"
"32647.272139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32647.272139";"Скорость автомобиля";"0";"km/h"
"32647.272139";"Средняя скорость";"0";"km/h"
"32647.272139";"Ускорение";"0";"g"
"32647.309139";"Power from MAF";"0";"hp"
"32647.309139";"Использовано топлива";"0";"L"
"32647.309139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32647.309139";"Массовый расход воздуха";"0";"g/sec"
"32647.309139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32647.309139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32647.309139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32647.309139";"Стоимость топлива";"0";"₽"
"32647.309139";"Стоимость топлива (общий)";"90.5";"₽"
"32647.395139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32647.395139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32647.474139";"Пройденный путь";"0";"km"
"32647.474139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32647.474139";"Скорость автомобиля";"0";"km/h"
"32647.474139";"Средняя скорость";"0";"km/h"
"32647.474139";"Ускорение";"0";"g"
"32647.508139";"Power from MAF";"0";"hp"
"32647.508139";"Использовано топлива";"0";"L"
"32647.508139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32647.508139";"Массовый расход воздуха";"0";"g/sec"
"32647.508139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32647.508139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32647.508139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32647.508139";"Стоимость топлива";"0";"₽"
"32647.508139";"Стоимость топлива (общий)";"90.5";"₽"
"32647.542139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32647.542139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32647.593139";"Пройденный путь";"0";"km"
"32647.593139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32647.593139";"Скорость автомобиля";"0";"km/h"
"32647.593139";"Средняя скорость";"0";"km/h"
"32647.593139";"Ускорение";"0";"g"
"32647.616139";"Power from MAF";"0";"hp"
"32647.616139";"Использовано топлива";"0";"L"
"32647.616139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32647.616139";"Массовый расход воздуха";"0";"g/sec"
"32647.616139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32647.616139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32647.616139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32647.616139";"Стоимость топлива";"0";"₽"
"32647.616139";"Стоимость топлива (общий)";"90.5";"₽"
"32647.640139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32647.640139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32647.690139";"Пройденный путь";"0";"km"
"32647.690139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32647.690139";"Скорость автомобиля";"0";"km/h"
"32647.690139";"Средняя скорость";"0";"km/h"
"32647.690139";"Ускорение";"0";"g"
"32647.714139";"Power from MAF";"0";"hp"
"32647.714139";"Использовано топлива";"0";"L"
"32647.714139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32647.714139";"Массовый расход воздуха";"0";"g/sec"
"32647.714139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32647.714139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32647.714139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32647.714139";"Стоимость топлива";"0";"₽"
"32647.714139";"Стоимость топлива (общий)";"90.5";"₽"
"32647.749139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32647.749139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32647.822139";"Пройденный путь";"0";"km"
"32647.822139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32647.822139";"Скорость автомобиля";"0";"km/h"
"32647.822139";"Средняя скорость";"0";"km/h"
"32647.822139";"Ускорение";"0";"g"
"32647.859139";"Power from MAF";"0";"hp"
"32647.859139";"Использовано топлива";"0";"L"
"32647.859139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32647.859139";"Массовый расход воздуха";"0";"g/sec"
"32647.859139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32647.859139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32647.859139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32647.859139";"Стоимость топлива";"0";"₽"
"32647.859139";"Стоимость топлива (общий)";"90.5";"₽"
"32647.894139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32647.894139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32647.995139";"Пройденный путь";"0";"km"
"32647.995139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32647.995139";"Скорость автомобиля";"0";"km/h"
"32647.995139";"Средняя скорость";"0";"km/h"
"32647.995139";"Ускорение";"0";"g"
"32648.031139";"Power from MAF";"0";"hp"
"32648.031139";"Использовано топлива";"0";"L"
"32648.031139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32648.031139";"Массовый расход воздуха";"0";"g/sec"
"32648.031139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32648.031139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32648.031139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32648.031139";"Стоимость топлива";"0";"₽"
"32648.031139";"Стоимость топлива (общий)";"90.5";"₽"
"32648.152139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32648.152139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32648.222139";"Пройденный путь";"0";"km"
